id,creation_time,failed,failed_reason,time_of_death,property1,property2,property3,property4,property5,details,assignment_id,event_type,class
1,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHQ82GgH8pw==""]]}",False,,,,,,,,{},65675e246f14dec95a958a2b,AssignmentSubmitted,Notification
2,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHRAOCgI2Og==""]]}",False,,,,,,,,{},65675e238868f1e6db381305,AssignmentSubmitted,Notification
3,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHRAQNwrAPQ==""]]}",False,,,,,,,,{},65675e102843caec6b9a1be6,AssignmentSubmitted,Notification
4,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHRAQOwzqcw==""]]}",False,,,,,,,,{},65675df391cbc9edd9cc1da5,AssignmentSubmitted,Notification
5,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHRARKQpvIQ==""]]}",False,,,,,,,,{},65675ed8472a7fc262ee386b,AssignmentSubmitted,Notification
6,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHRAcCwJRxg==""]]}",False,,,,,,,,{},65675f15c87a0ea706caf1c1,AssignmentSubmitted,Notification
7,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHRAdDQj+LA==""]]}",False,,,,,,,,{},65676278d90863d281d54ffa,AssignmentSubmitted,Notification
8,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHREKGwhSHA==""]]}",False,,,,,,,,{},65676fe63b83e62077c2e45b,AssignmentSubmitted,Notification
9,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHRELHAb/Tg==""]]}",False,,,,,,,,{},65676fe7ad49fea42fd673ec,AssignmentSubmitted,Notification
10,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHREYEgTlIQ==""]]}",False,,,,,,,,{},65676e2111f06ade02ebb3c8,AssignmentSubmitted,Notification
11,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHREeAgsfTQ==""]]}",False,,,,,,,,{},65676fe79669bdfd030f2753,AssignmentSubmitted,Notification
12,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHRElCgDxVA==""]]}",False,,,,,,,,{},65676fea4d12f4dfdcb766a0,AssignmentSubmitted,Notification
13,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cLHREnDQOhWQ==""]]}",False,,,,,,,,{},65676febd9e477cb10f701af,AssignmentSubmitted,Notification
